2019-05-22 19:27:32,370 | INFO  | entLoopGroup-9-6 | DeviceContextImpl                | 296 - org.opendaylight.openflowplugin.impl - 0.4.4.Carbon | Started timer for setting SLAVE role on device openflow:1 if no role will be set in 20s.
2019-05-22 19:27:32,370 | INFO  | entLoopGroup-9-6 | ContextChainImpl                 | 296 - org.opendaylight.openflowplugin.impl - 0.4.4.Carbon | Registering clustering services for node openflow:1
2019-05-22 19:27:36,353 | INFO  | entLoopGroup-9-7 | ConnectionAdapterImpl            | 285 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.9.4.Carbon | Hello received
2019-05-22 19:27:36,355 | INFO  | entLoopGroup-9-7 | ContextChainHolderImpl           | 296 - org.opendaylight.openflowplugin.impl - 0.4.4.Carbon | Device openflow:2 connected.
2019-05-22 19:27:36,355 | WARN  | entLoopGroup-9-7 | ContextChainHolderImpl           | 296 - org.opendaylight.openflowplugin.impl - 0.4.4.Carbon | Device openflow:2 already connected. Closing previous connection
2019-05-22 19:27:36,357 | WARN  | entLoopGroup-9-7 | OF13DeviceInitializer            | 296 - org.opendaylight.openflowplugin.impl - 0.4.4.Carbon | Failed to write node openflow:2 to DS because we failed to gather device info.
2019-05-22 19:27:36,358 | INFO  | entLoopGroup-9-7 | StatisticsContextImpl            | 296 - org.opendaylight.openflowplugin.impl - 0.4.4.Carbon | Stopping running statistics gathering for node openflow:2
2019-05-22 19:27:36,359 | INFO  | entLoopGroup-9-7 | ContextChainHolderImpl           | 296 - org.opendaylight.openflowplugin.impl - 0.4.4.Carbon | Old connection dropped, creating new context chain for device openflow:2
2019-05-22 19:27:36,359 | INFO  | entLoopGroup-9-7 | DeviceManagerImpl                | 296 - org.opendaylight.openflowplugin.impl - 0.4.4.Carbon | ConnectionEvent: Device connected to controller, Device:/192.168.56.101:35280, NodeId:Uri [_value=openflow:2]
2019-05-22 19:27:36,359 | INFO  | entLoopGroup-9-7 | DeviceContextImpl                | 296 - org.opendaylight.openflowplugin.impl - 0.4.4.Carbon | Started timer for setting SLAVE role on device openflow:2 if no role will be set in 20s.
2019-05-22 19:27:36,359 | INFO  | entLoopGroup-9-7 | ContextChainImpl                 | 296 - org.opendaylight.openflowplugin.impl - 0.4.4.Carbon | Registering clustering services for node openflow:2
2019-05-22 19:27:40,496 | WARN  | entLoopGroup-9-4 | OF13DeviceInitializer            | 296 - org.opendaylight.openflowplugin.impl - 0.4.4.Carbon | Request of type OFPMPMETERFEATURES for static info of node openflow:2 failed.
2019-05-22 19:27:40,496 | WARN  | entLoopGroup-9-4 | OF13DeviceInitializer            | 296 - org.opendaylight.openflowplugin.impl - 0.4.4.Carbon | Request of type OFPMPGROUPFEATURES for static info of node openflow:2 failed.
2019-05-22 19:27:40,496 | WARN  | entLoopGroup-9-4 | OF13DeviceInitializer            | 296 - org.opendaylight.openflowplugin.impl - 0.4.4.Carbon | Request of type OFPMPPORTDESC for static info of node openflow:2 failed.
2019-05-22 19:27:40,497 | WARN  | entLoopGroup-9-4 | ContextChainImpl                 | 296 - org.opendaylight.openflowplugin.impl - 0.4.4.Carbon | Not able to start clustering services for node openflow:2
2019-05-22 19:27:40,497 | WARN  | ofppool-2        | ContextChainHolderImpl           | 296 - org.opendaylight.openflowplugin.impl - 0.4.4.Carbon | Not able to set MASTER role on device openflow:2, reason: Failed to initialize device openflow:2 in 9s: java.util.concurrent.TimeoutException: Timeout waiting for task.
2019-05-22 19:27:40,497 | WARN  | ofppool-2        | ContextChainHolderImpl           | 296 - org.opendaylight.openflowplugin.impl - 0.4.4.Carbon | This mastering is mandatory, destroying context chain and closing connection for device openflow:2.
2019-05-22 19:27:40,497 | INFO  | ofppool-2        | StatisticsContextImpl            | 296 - org.opendaylight.openflowplugin.impl - 0.4.4.Carbon | Stopping running statistics gathering for node openflow:2
2019-05-22 19:27:40,497 | INFO  | entLoopGroup-9-7 | ContextChainImpl                 | 296 - org.opendaylight.openflowplugin.impl - 0.4.4.Carbon | Started clustering services for node openflow:2
2019-05-22 19:27:40,498 | INFO  | entLoopGroup-9-6 | DeviceContextImpl                | 296 - org.opendaylight.openflowplugin.impl - 0.4.4.Carbon | Starting device context cluster services for node openflow:1
2019-05-22 19:27:41,353 | INFO  | entLoopGroup-9-8 | ConnectionAdapterImpl            | 285 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.9.4.Carbon | Hello received
2019-05-22 19:27:41,356 | INFO  | entLoopGroup-9-8 | ContextChainHolderImpl           | 296 - org.opendaylight.openflowplugin.impl - 0.4.4.Carbon | Device openflow:2 connected.
2019-05-22 19:27:41,356 | INFO  | entLoopGroup-9-8 | ContextChainHolderImpl           | 296 - org.opendaylight.openflowplugin.impl - 0.4.4.Carbon | No context chain found for device: openflow:2, creating new.
2019-05-22 19:27:41,356 | INFO  | entLoopGroup-9-8 | DeviceManagerImpl                | 296 - org.opendaylight.openflowplugin.impl - 0.4.4.Carbon | ConnectionEvent: Device connected to controller, Device:/192.168.56.101:35282, NodeId:Uri [_value=openflow:2]
2019-05-22 19:27:41,359 | INFO  | entLoopGroup-9-8 | DeviceContextImpl                | 296 - org.opendaylight.openflowplugin.impl - 0.4.4.Carbon | Started timer for setting SLAVE role on device openflow:2 if no role will be set in 20s.
2019-05-22 19:27:41,359 | INFO  | entLoopGroup-9-8 | ContextChainImpl                 | 296 - org.opendaylight.openflowplugin.impl - 0.4.4.Carbon | Registering clustering services for node openflow:2
2019-05-22 19:27:43,354 | INFO  | entLoopGroup-9-1 | ConnectionAdapterImpl            | 285 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.9.4.Carbon | Hello received
2019-05-22 19:27:43,357 | INFO  | entLoopGroup-9-1 | ContextChainHolderImpl           | 296 - org.opendaylight.openflowplugin.impl - 0.4.4.Carbon | Device openflow:1 connected.
2019-05-22 19:27:43,357 | WARN  | entLoopGroup-9-1 | ContextChainHolderImpl           | 296 - org.opendaylight.openflowplugin.impl - 0.4.4.Carbon | Device openflow:1 already connected. Closing previous connection
2019-05-22 19:27:43,358 | WARN  | entLoopGroup-9-1 | OF13DeviceInitializer            | 296 - org.opendaylight.openflowplugin.impl - 0.4.4.Carbon | Failed to write node openflow:1 to DS because we failed to gather device info.
2019-05-22 19:27:43,359 | INFO  | entLoopGroup-9-1 | StatisticsContextImpl            | 296 - org.opendaylight.openflowplugin.impl - 0.4.4.Carbon | Stopping running statistics gathering for node openflow:1
2019-05-22 19:27:43,360 | INFO  | entLoopGroup-9-1 | ContextChainHolderImpl           | 296 - org.opendaylight.openflowplugin.impl - 0.4.4.Carbon | Old connection dropped, creating new context chain for device openflow:1
